source_split,scenario_version,configured_scale,seed,episode,frame_index,timestamp_s,class_label,candidate_availability_status,observed_anonymous_target_count,observed_anonymous_resource_count,target_demand_slot_count,teacher_binding_change_count,candidate_teacher_symmetric_difference_count,candidate_exact_teacher,effective_exact_teacher,ood,rejected,rejection_reasons,exclusive_observable_failure_pathway
validation,center_failure-20v20-v1,20t20r,20063,center_failure_20v20-s20063-32b93bf2de0b-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
validation,center_failure-20v20-v1,20t20r,20063,center_failure_20v20-s20063-32b93bf2de0b-r4dcb163981ae,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,20,20,20,6,0,True,True,False,False,,teacher_exact_match
train,center_failure-20v20-v1,20t20r,20064,center_failure_20v20-s20064-f2b3ec1e3098-r4dcb163981ae,0,0.75,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,center_failure-20v20-v1,20t20r,20064,center_failure_20v20-s20064-f2b3ec1e3098-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,center_failure-20v20-v1,20t20r,20064,center_failure_20v20-s20064-f2b3ec1e3098-r4dcb163981ae,2,2.0,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,center_failure-20v20-v1,20t20r,20065,center_failure_20v20-s20065-ad7caae7a732-r4dcb163981ae,0,0.75,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,center_failure-20v20-v1,20t20r,20065,center_failure_20v20-s20065-ad7caae7a732-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,center_failure-20v20-v1,20t20r,20065,center_failure_20v20-s20065-ad7caae7a732-r4dcb163981ae,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,20,20,20,8,6,False,False,False,True,binding_change_limit_exceeded|rule_cost_difference_exceeded|relative_rule_cost_difference_exceeded,candidate_selection_mismatch_non_ood
train,center_failure-20v20-v1,20t20r,20066,center_failure_20v20-s20066-2b8f633576c9-r4dcb163981ae,0,0.75,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,center_failure-20v20-v1,20t20r,20066,center_failure_20v20-s20066-2b8f633576c9-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,center_failure-20v20-v1,20t20r,20066,center_failure_20v20-s20066-2b8f633576c9-r4dcb163981ae,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,20,20,20,4,0,True,True,False,False,,teacher_exact_match
test,center_failure-20v20-v1,20t20r,20067,center_failure_20v20-s20067-bdd90fc86bee-r4dcb163981ae,0,0.75,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
test,center_failure-20v20-v1,20t20r,20067,center_failure_20v20-s20067-bdd90fc86bee-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
test,center_failure-20v20-v1,20t20r,20067,center_failure_20v20-s20067-bdd90fc86bee-r4dcb163981ae,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,20,20,20,4,6,False,False,False,True,rule_cost_difference_exceeded|relative_rule_cost_difference_exceeded,candidate_selection_mismatch_non_ood
train,center_failure-20v20-v1,20t20r,20068,center_failure_20v20-s20068-47d665fbfed6-r4dcb163981ae,0,0.75,negative,proposal_available_teacher_edge_reachability_unavailable,19,20,19,0,0,True,True,False,False,,negative_not_applicable
train,center_failure-20v20-v1,20t20r,20068,center_failure_20v20-s20068-47d665fbfed6-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,19,20,19,0,0,True,True,False,False,,negative_not_applicable
train,center_failure-20v20-v1,20t20r,20068,center_failure_20v20-s20068-47d665fbfed6-r4dcb163981ae,2,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,19,20,19,0,0,True,True,False,False,,negative_not_applicable
train,center_failure-20v20-v1,20t20r,20069,center_failure_20v20-s20069-0d133525afb8-r4dcb163981ae,0,0.75,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,center_failure-20v20-v1,20t20r,20069,center_failure_20v20-s20069-0d133525afb8-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,center_failure-20v20-v1,20t20r,20069,center_failure_20v20-s20069-0d133525afb8-r4dcb163981ae,2,2.0,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
test,communication_degraded-5v5-v1,5t5r,20050,communication_degraded_5v5-s20050-75f600426481-r4dcb163981ae,0,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
test,communication_degraded-5v5-v1,5t5r,20050,communication_degraded_5v5-s20050-75f600426481-r4dcb163981ae,1,2.0,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
train,communication_degraded-5v5-v1,5t5r,20051,communication_degraded_5v5-s20051-234b1263200c-r4dcb163981ae,0,0.9,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
train,communication_degraded-5v5-v1,5t5r,20051,communication_degraded_5v5-s20051-234b1263200c-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
train,communication_degraded-5v5-v1,5t5r,20051,communication_degraded_5v5-s20051-234b1263200c-r4dcb163981ae,2,2.0,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
test,communication_degraded-5v5-v1,5t5r,20052,communication_degraded_5v5-s20052-b85745576259-r4dcb163981ae,0,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
test,communication_degraded-5v5-v1,5t5r,20052,communication_degraded_5v5-s20052-b85745576259-r4dcb163981ae,1,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,5,5,5,4,4,False,False,False,False,,candidate_selection_mismatch_non_ood
validation,communication_degraded-5v5-v1,5t5r,20053,communication_degraded_5v5-s20053-4593bbda368a-r4dcb163981ae,0,1.05,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
validation,communication_degraded-5v5-v1,5t5r,20053,communication_degraded_5v5-s20053-4593bbda368a-r4dcb163981ae,1,2.0,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
validation,communication_degraded-5v5-v1,5t5r,20054,communication_degraded_5v5-s20054-25271bce7ca9-r4dcb163981ae,0,0.95,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
validation,communication_degraded-5v5-v1,5t5r,20054,communication_degraded_5v5-s20054-25271bce7ca9-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
validation,communication_degraded-5v5-v1,5t5r,20054,communication_degraded_5v5-s20054-25271bce7ca9-r4dcb163981ae,2,2.0,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
train,communication_degraded-5v5-v1,5t5r,20055,communication_degraded_5v5-s20055-342b59835a42-r4dcb163981ae,0,0.85,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
train,communication_degraded-5v5-v1,5t5r,20055,communication_degraded_5v5-s20055-342b59835a42-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
train,communication_degraded-5v5-v1,5t5r,20055,communication_degraded_5v5-s20055-342b59835a42-r4dcb163981ae,2,2.0,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
validation,communication_degraded-5v5-v1,5t5r,20056,communication_degraded_5v5-s20056-ebd72c696c62-r4dcb163981ae,0,0.95,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
validation,communication_degraded-5v5-v1,5t5r,20056,communication_degraded_5v5-s20056-ebd72c696c62-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
validation,communication_degraded-5v5-v1,5t5r,20056,communication_degraded_5v5-s20056-ebd72c696c62-r4dcb163981ae,2,2.0,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
train,communication_degraded-5v5-v1,5t5r,20057,communication_degraded_5v5-s20057-1f3aea318897-r4dcb163981ae,0,1.25,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
train,communication_degraded-5v5-v1,5t5r,20057,communication_degraded_5v5-s20057-1f3aea318897-r4dcb163981ae,1,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,5,5,5,4,4,False,False,False,False,,candidate_selection_mismatch_non_ood
validation,communication_degraded-5v5-v1,5t5r,20058,communication_degraded_5v5-s20058-a5093c4ee6d1-r4dcb163981ae,0,1.15,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
validation,communication_degraded-5v5-v1,5t5r,20058,communication_degraded_5v5-s20058-a5093c4ee6d1-r4dcb163981ae,1,2.0,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
test,communication_degraded-5v5-v1,5t5r,20059,communication_degraded_5v5-s20059-f4f65dc50533-r4dcb163981ae,0,1.25,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
test,communication_degraded-5v5-v1,5t5r,20059,communication_degraded_5v5-s20059-f4f65dc50533-r4dcb163981ae,1,2.0,negative,proposal_available_teacher_edge_reachability_unavailable,5,5,5,0,0,True,True,False,False,,negative_not_applicable
train,delayed_noisy-200v200-v1,200t200r,20040,delayed_noisy_200v200-s20040-010799c58309-r61bb88a65f68,0,0.9,negative,proposal_available_teacher_edge_reachability_unavailable,176,200,176,0,0,True,True,False,False,,negative_not_applicable
train,delayed_noisy-200v200-v1,200t200r,20040,delayed_noisy_200v200-s20040-010799c58309-r61bb88a65f68,1,1.0,positive,proposal_available_teacher_edge_reachability_unavailable,180,200,180,4,84,False,False,False,True,binding_change_limit_exceeded,candidate_selection_mismatch_non_ood
train,delayed_noisy-200v200-v1,200t200r,20040,delayed_noisy_200v200-s20040-010799c58309-r61bb88a65f68,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,203,200,203,8,8,False,False,True,True,feature_ood,feature_ood_rule_fallback
test,delayed_noisy-200v200-v1,200t200r,20041,delayed_noisy_200v200-s20041-095c3ea2f5ff-r61bb88a65f68,0,0.9,negative,proposal_available_teacher_edge_reachability_unavailable,183,200,183,0,0,True,True,False,False,,negative_not_applicable
test,delayed_noisy-200v200-v1,200t200r,20041,delayed_noisy_200v200-s20041-095c3ea2f5ff-r61bb88a65f68,1,1.0,positive,proposal_available_teacher_edge_reachability_unavailable,185,200,185,4,106,False,False,False,True,binding_change_limit_exceeded|rule_cost_difference_exceeded,candidate_selection_mismatch_non_ood
test,delayed_noisy-200v200-v1,200t200r,20041,delayed_noisy_200v200-s20041-095c3ea2f5ff-r61bb88a65f68,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,202,200,202,6,6,False,False,True,True,feature_ood,feature_ood_rule_fallback
validation,delayed_noisy-200v200-v1,200t200r,20042,delayed_noisy_200v200-s20042-6df030cbf7a8-r61bb88a65f68,0,1.1,negative,proposal_available_teacher_edge_reachability_unavailable,184,200,184,0,0,True,True,False,False,,negative_not_applicable
validation,delayed_noisy-200v200-v1,200t200r,20042,delayed_noisy_200v200-s20042-6df030cbf7a8-r61bb88a65f68,1,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,203,200,203,4,290,False,False,False,True,binding_change_limit_exceeded|rule_cost_difference_exceeded,candidate_selection_mismatch_non_ood
validation,delayed_noisy-200v200-v1,200t200r,20043,delayed_noisy_200v200-s20043-90bf475ecd0d-r61bb88a65f68,0,0.9,negative,proposal_available_teacher_edge_reachability_unavailable,183,200,183,0,0,True,True,False,False,,negative_not_applicable
validation,delayed_noisy-200v200-v1,200t200r,20043,delayed_noisy_200v200-s20043-90bf475ecd0d-r61bb88a65f68,1,1.0,positive,proposal_available_teacher_edge_reachability_unavailable,189,200,189,4,126,False,False,False,True,binding_change_limit_exceeded|rule_cost_difference_exceeded,candidate_selection_mismatch_non_ood
validation,delayed_noisy-200v200-v1,200t200r,20043,delayed_noisy_200v200-s20043-90bf475ecd0d-r61bb88a65f68,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,203,200,203,4,306,False,False,False,True,binding_change_limit_exceeded|rule_cost_difference_exceeded,candidate_selection_mismatch_non_ood
train,delayed_noisy-200v200-v1,200t200r,20044,delayed_noisy_200v200-s20044-4ad965baf18c-r61bb88a65f68,0,0.9,negative,proposal_available_teacher_edge_reachability_unavailable,182,200,182,0,0,True,True,False,False,,negative_not_applicable
train,delayed_noisy-200v200-v1,200t200r,20044,delayed_noisy_200v200-s20044-4ad965baf18c-r61bb88a65f68,1,1.0,positive,proposal_available_teacher_edge_reachability_unavailable,187,200,187,4,102,False,False,False,True,binding_change_limit_exceeded|rule_cost_difference_exceeded,candidate_selection_mismatch_non_ood
train,delayed_noisy-200v200-v1,200t200r,20044,delayed_noisy_200v200-s20044-4ad965baf18c-r61bb88a65f68,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,206,200,206,8,300,False,False,False,True,binding_change_limit_exceeded|rule_cost_difference_exceeded,candidate_selection_mismatch_non_ood
train,delayed_noisy-200v200-v1,200t200r,20045,delayed_noisy_200v200-s20045-2c57769ae61e-r61bb88a65f68,0,0.9,negative,proposal_available_teacher_edge_reachability_unavailable,178,200,178,0,0,True,True,False,False,,negative_not_applicable
train,delayed_noisy-200v200-v1,200t200r,20045,delayed_noisy_200v200-s20045-2c57769ae61e-r61bb88a65f68,1,1.0,positive,proposal_available_teacher_edge_reachability_unavailable,179,200,179,4,8,False,False,False,True,binding_change_limit_exceeded,candidate_selection_mismatch_non_ood
train,delayed_noisy-200v200-v1,200t200r,20045,delayed_noisy_200v200-s20045-2c57769ae61e-r61bb88a65f68,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,207,200,207,8,8,False,False,True,True,feature_ood,feature_ood_rule_fallback
train,delayed_noisy-200v200-v1,200t200r,20046,delayed_noisy_200v200-s20046-b2c33a73f794-r61bb88a65f68,0,0.9,negative,proposal_available_teacher_edge_reachability_unavailable,179,200,179,0,0,True,True,False,False,,negative_not_applicable
train,delayed_noisy-200v200-v1,200t200r,20046,delayed_noisy_200v200-s20046-b2c33a73f794-r61bb88a65f68,1,1.0,positive,proposal_available_teacher_edge_reachability_unavailable,184,200,184,4,106,False,False,False,True,binding_change_limit_exceeded|rule_cost_difference_exceeded,candidate_selection_mismatch_non_ood
train,delayed_noisy-200v200-v1,200t200r,20046,delayed_noisy_200v200-s20046-b2c33a73f794-r61bb88a65f68,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,203,200,203,6,324,False,False,False,True,binding_change_limit_exceeded|rule_cost_difference_exceeded,candidate_selection_mismatch_non_ood
train,delayed_noisy-200v200-v1,200t200r,20047,delayed_noisy_200v200-s20047-a83addb9da0b-r61bb88a65f68,0,0.9,negative,proposal_available_teacher_edge_reachability_unavailable,181,200,181,0,0,True,True,False,False,,negative_not_applicable
train,delayed_noisy-200v200-v1,200t200r,20047,delayed_noisy_200v200-s20047-a83addb9da0b-r61bb88a65f68,1,1.0,positive,proposal_available_teacher_edge_reachability_unavailable,183,200,183,4,30,False,False,False,True,binding_change_limit_exceeded,candidate_selection_mismatch_non_ood
train,delayed_noisy-200v200-v1,200t200r,20047,delayed_noisy_200v200-s20047-a83addb9da0b-r61bb88a65f68,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,204,200,204,6,318,False,False,False,True,binding_change_limit_exceeded|rule_cost_difference_exceeded,candidate_selection_mismatch_non_ood
train,delayed_noisy-200v200-v1,200t200r,20048,delayed_noisy_200v200-s20048-6562f41bcd24-r61bb88a65f68,0,1.3,negative,proposal_available_teacher_edge_reachability_unavailable,178,200,178,0,0,True,True,False,False,,negative_not_applicable
train,delayed_noisy-200v200-v1,200t200r,20048,delayed_noisy_200v200-s20048-6562f41bcd24-r61bb88a65f68,1,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,205,200,205,8,280,False,False,False,True,binding_change_limit_exceeded|rule_cost_difference_exceeded,candidate_selection_mismatch_non_ood
train,delayed_noisy-200v200-v1,200t200r,20049,delayed_noisy_200v200-s20049-94dc20514c3b-r61bb88a65f68,0,0.9,negative,proposal_available_teacher_edge_reachability_unavailable,182,200,182,0,0,True,True,False,False,,negative_not_applicable
train,delayed_noisy-200v200-v1,200t200r,20049,delayed_noisy_200v200-s20049-94dc20514c3b-r61bb88a65f68,1,1.0,positive,proposal_available_teacher_edge_reachability_unavailable,183,200,183,4,46,False,False,False,True,binding_change_limit_exceeded,candidate_selection_mismatch_non_ood
train,delayed_noisy-200v200-v1,200t200r,20049,delayed_noisy_200v200-s20049-94dc20514c3b-r61bb88a65f68,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,203,200,203,4,4,False,False,True,True,feature_ood,feature_ood_rule_fallback
validation,dense_crossing-20v20-v1,20t20r,20010,dense_crossing_20v20-s20010-52606ccf2fab-r4dcb163981ae,0,0.75,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
validation,dense_crossing-20v20-v1,20t20r,20010,dense_crossing_20v20-s20010-52606ccf2fab-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
validation,dense_crossing-20v20-v1,20t20r,20010,dense_crossing_20v20-s20010-52606ccf2fab-r4dcb163981ae,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,20,20,20,6,0,True,True,False,False,,teacher_exact_match
train,dense_crossing-20v20-v1,20t20r,20011,dense_crossing_20v20-s20011-f4dfbb835d25-r4dcb163981ae,0,0.75,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,dense_crossing-20v20-v1,20t20r,20011,dense_crossing_20v20-s20011-f4dfbb835d25-r4dcb163981ae,1,1.0,positive,proposal_available_teacher_edge_reachability_unavailable,20,20,20,4,4,False,False,False,False,,candidate_selection_mismatch_non_ood
train,dense_crossing-20v20-v1,20t20r,20011,dense_crossing_20v20-s20011-f4dfbb835d25-r4dcb163981ae,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,20,20,20,4,4,False,False,False,False,,candidate_selection_mismatch_non_ood
train,dense_crossing-20v20-v1,20t20r,20012,dense_crossing_20v20-s20012-e6acd9ee94a0-r4dcb163981ae,0,0.85,negative,proposal_available_teacher_edge_reachability_unavailable,19,20,19,0,0,True,True,False,False,,negative_not_applicable
train,dense_crossing-20v20-v1,20t20r,20012,dense_crossing_20v20-s20012-e6acd9ee94a0-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,19,20,19,0,0,True,True,False,False,,negative_not_applicable
train,dense_crossing-20v20-v1,20t20r,20012,dense_crossing_20v20-s20012-e6acd9ee94a0-r4dcb163981ae,2,2.0,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
validation,dense_crossing-20v20-v1,20t20r,20013,dense_crossing_20v20-s20013-68d1fb0bf891-r4dcb163981ae,0,0.85,negative,proposal_available_teacher_edge_reachability_unavailable,19,20,19,0,0,True,True,False,False,,negative_not_applicable
validation,dense_crossing-20v20-v1,20t20r,20013,dense_crossing_20v20-s20013-68d1fb0bf891-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,19,20,19,0,0,True,True,False,False,,negative_not_applicable
validation,dense_crossing-20v20-v1,20t20r,20013,dense_crossing_20v20-s20013-68d1fb0bf891-r4dcb163981ae,2,2.0,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
test,dense_crossing-20v20-v1,20t20r,20014,dense_crossing_20v20-s20014-b074bb2795fe-r4dcb163981ae,0,0.75,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
test,dense_crossing-20v20-v1,20t20r,20014,dense_crossing_20v20-s20014-b074bb2795fe-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
test,dense_crossing-20v20-v1,20t20r,20014,dense_crossing_20v20-s20014-b074bb2795fe-r4dcb163981ae,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,20,20,20,4,4,False,False,False,False,,candidate_selection_mismatch_non_ood
train,dense_crossing-20v20-v1,20t20r,20015,dense_crossing_20v20-s20015-dfc75a43c2c0-r4dcb163981ae,0,0.85,negative,proposal_available_teacher_edge_reachability_unavailable,19,20,19,0,0,True,True,False,False,,negative_not_applicable
train,dense_crossing-20v20-v1,20t20r,20015,dense_crossing_20v20-s20015-dfc75a43c2c0-r4dcb163981ae,1,1.0,positive,proposal_available_teacher_edge_reachability_unavailable,19,20,19,4,4,False,False,False,False,,candidate_selection_mismatch_non_ood
train,dense_crossing-20v20-v1,20t20r,20015,dense_crossing_20v20-s20015-dfc75a43c2c0-r4dcb163981ae,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,20,20,20,4,4,False,False,False,False,,candidate_selection_mismatch_non_ood
train,dense_crossing-20v20-v1,20t20r,20016,dense_crossing_20v20-s20016-9ea620f56104-r4dcb163981ae,0,0.85,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,dense_crossing-20v20-v1,20t20r,20016,dense_crossing_20v20-s20016-9ea620f56104-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,dense_crossing-20v20-v1,20t20r,20016,dense_crossing_20v20-s20016-9ea620f56104-r4dcb163981ae,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,20,20,20,6,0,True,True,False,False,,teacher_exact_match
train,dense_crossing-20v20-v1,20t20r,20017,dense_crossing_20v20-s20017-d6c6ee9ff8af-r4dcb163981ae,0,0.85,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,dense_crossing-20v20-v1,20t20r,20017,dense_crossing_20v20-s20017-d6c6ee9ff8af-r4dcb163981ae,1,1.0,positive,proposal_available_teacher_edge_reachability_unavailable,20,20,20,4,0,True,True,False,False,,teacher_exact_match
train,dense_crossing-20v20-v1,20t20r,20017,dense_crossing_20v20-s20017-d6c6ee9ff8af-r4dcb163981ae,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,20,20,20,4,0,True,True,False,False,,teacher_exact_match
train,dense_crossing-20v20-v1,20t20r,20018,dense_crossing_20v20-s20018-d8a2def8a502-r4dcb163981ae,0,0.85,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,dense_crossing-20v20-v1,20t20r,20018,dense_crossing_20v20-s20018-d8a2def8a502-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,dense_crossing-20v20-v1,20t20r,20018,dense_crossing_20v20-s20018-d8a2def8a502-r4dcb163981ae,2,2.0,positive,proposal_available_teacher_edge_reachability_unavailable,20,20,20,4,4,False,False,False,True,rule_cost_difference_exceeded|relative_rule_cost_difference_exceeded,candidate_selection_mismatch_non_ood
train,dense_crossing-20v20-v1,20t20r,20019,dense_crossing_20v20-s20019-0b4fb368f4d9-r4dcb163981ae,0,0.85,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
train,dense_crossing-20v20-v1,20t20r,20019,dense_crossing_20v20-s20019-0b4fb368f4d9-r4dcb163981ae,1,1.0,negative,proposal_available_teacher_edge_reachability_unavailable,20,20,20,0,0,True,True,False,False,,negative_not_applicable
